Age,Department,JobRole,YearsAtCompany,YearsSinceLastPromotion,PromotionGapRatio,RoleStagnationIndex,CareerPathSegment,PromotionGapRiskScore,JobSatisfaction,EnvironmentSatisfaction
45,Research & Development,Manufacturing Director,10,3,0.3,0.7,High-Risk Stagnation Profile,High,4,4
38,Research & Development,Manufacturing Director,5,0,0.0,0.8,Fast-Track Performers,Medium,3,4
40,Research & Development,Manufacturing Director,4,3,0.75,0.5,Promotion-Stalled Employees,High,4,3
48,Research & Development,Manager,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,3
27,Research & Development,Research Scientist,4,1,0.25,0.5,Fast-Track Performers,Medium,4,4
25,Research & Development,Manufacturing Director,7,0,0.0,1.0,High-Risk Stagnation Profile,Medium,3,4
20,Sales,Sales Representative,2,2,1.0,1.0,Promotion-Stalled Employees,High,3,3
36,Research & Development,Manufacturing Director,3,1,0.3333333333333333,0.6666666666666666,Fast-Track Performers,Medium,3,4
43,Research & Development,Research Director,14,6,0.42857142857142855,0.7142857142857143,High-Risk Stagnation Profile,High,3,3
38,Research & Development,Research Scientist,13,2,0.15384615384615385,0.8461538461538461,High-Risk Stagnation Profile,Medium,4,4
49,Research & Development,Manager,8,0,0.0,0.875,Fast-Track Performers,Medium,3,3
33,Sales,Sales Executive,6,1,0.16666666666666666,0.8333333333333334,Fast-Track Performers,Medium,4,3
44,Human Resources,Human Resources,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,3
38,Research & Development,Laboratory Technician,0,0,0.0,0.0,Early-Career Explorers,Medium,3,4
26,Research & Development,Laboratory Technician,7,5,0.7142857142857143,1.0,High-Risk Stagnation Profile,High,4,4
44,Research & Development,Healthcare Representative,8,6,0.75,0.875,High-Risk Stagnation Profile,High,4,3
43,Sales,Sales Executive,10,8,0.8,0.9,High-Risk Stagnation Profile,High,4,4
24,Research & Development,Research Scientist,5,0,0.0,0.6,Fast-Track Performers,Medium,3,3
41,Sales,Sales Executive,10,8,0.8,0.8,High-Risk Stagnation Profile,High,3,4
36,Sales,Sales Representative,13,6,0.46153846153846156,0.5384615384615384,High-Risk Stagnation Profile,High,4,3
45,Research & Development,Healthcare Representative,23,14,0.6086956521739131,0.6521739130434783,High-Risk Stagnation Profile,High,3,3
26,Research & Development,Laboratory Technician,3,0,0.0,0.6666666666666666,Fast-Track Performers,Medium,3,4
35,Research & Development,Manufacturing Director,7,0,0.0,1.0,High-Risk Stagnation Profile,Medium,3,4
31,Research & Development,Manufacturing Director,5,1,0.2,0.8,Fast-Track Performers,Medium,4,4
39,Research & Development,Laboratory Technician,9,5,0.5555555555555556,0.8888888888888888,High-Risk Stagnation Profile,High,4,4
32,Sales,Sales Executive,4,0,0.0,0.75,Fast-Track Performers,Medium,3,4
29,Research & Development,Healthcare Representative,3,0,0.0,0.6666666666666666,Fast-Track Performers,Medium,3,4
49,Sales,Sales Executive,5,0,0.0,0.2,Fast-Track Performers,Medium,4,4
34,Sales,Sales Executive,15,0,0.0,0.9333333333333333,High-Risk Stagnation Profile,High,3,4
34,Sales,Sales Executive,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,4
38,Research & Development,Laboratory Technician,5,0,0.0,0.8,Fast-Track Performers,Medium,3,4
46,Research & Development,Research Director,2,2,1.0,0.5,Promotion-Stalled Employees,High,4,3
39,Research & Development,Research Director,4,2,0.5,0.75,Fast-Track Performers,Medium,3,3
39,Sales,Sales Executive,2,2,1.0,0.5,Promotion-Stalled Employees,High,4,3
41,Sales,Sales Executive,22,13,0.5909090909090909,0.6363636363636364,High-Risk Stagnation Profile,High,3,3
54,Research & Development,Research Scientist,7,1,0.14285714285714285,0.14285714285714285,Fast-Track Performers,Medium,4,4
45,Sales,Sales Executive,8,5,0.625,0.875,High-Risk Stagnation Profile,High,3,3
27,Research & Development,Laboratory Technician,5,0,0.0,0.8,Fast-Track Performers,Medium,4,4
29,Research & Development,Laboratory Technician,11,3,0.2727272727272727,0.7272727272727273,High-Risk Stagnation Profile,High,4,4
32,Sales,Sales Executive,0,0,0.0,0.0,Early-Career Explorers,Medium,4,4
42,Research & Development,Research Scientist,6,3,0.5,0.5,Fast-Track Performers,Medium,3,3
46,Research & Development,Manufacturing Director,9,4,0.4444444444444444,0.8888888888888888,High-Risk Stagnation Profile,High,4,4
28,Human Resources,Human Resources,3,2,0.6666666666666666,0.6666666666666666,Promotion-Stalled Employees,High,4,3
42,Research & Development,Laboratory Technician,0,0,0.0,0.0,Early-Career Explorers,Medium,3,4
39,Research & Development,Research Scientist,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,4
48,Research & Development,Manager,22,4,0.18181818181818182,0.7727272727272727,High-Risk Stagnation Profile,High,4,4
26,Research & Development,Laboratory Technician,7,7,1.0,1.0,High-Risk Stagnation Profile,High,4,3
28,Sales,Sales Executive,7,0,0.0,1.0,High-Risk Stagnation Profile,High,4,3
34,Research & Development,Research Scientist,15,6,0.4,0.6666666666666666,High-Risk Stagnation Profile,High,4,3
34,Sales,Sales Executive,8,1,0.125,0.875,Fast-Track Performers,Medium,3,4
35,Sales,Sales Executive,10,0,0.0,0.8,High-Risk Stagnation Profile,High,4,3
27,Sales,Sales Executive,7,0,0.0,1.0,High-Risk Stagnation Profile,Medium,4,4
33,Research & Development,Healthcare Representative,9,2,0.2222222222222222,0.7777777777777778,High-Risk Stagnation Profile,High,3,4
42,Research & Development,Research Scientist,20,3,0.15,0.45,High-Risk Stagnation Profile,Medium,3,4
31,Research & Development,Research Director,11,4,0.36363636363636365,0.6363636363636364,High-Risk Stagnation Profile,High,3,3
40,Research & Development,Laboratory Technician,10,9,0.9,0.9,High-Risk Stagnation Profile,High,3,4
25,Research & Development,Laboratory Technician,2,0,0.0,1.0,Fast-Track Performers,Medium,3,4
35,Research & Development,Laboratory Technician,2,2,1.0,1.0,Promotion-Stalled Employees,High,3,4
22,Research & Development,Research Scientist,3,1,0.3333333333333333,0.6666666666666666,Fast-Track Performers,Medium,3,4
32,Sales,Sales Executive,14,5,0.35714285714285715,0.7142857142857143,High-Risk Stagnation Profile,High,4,3
37,Research & Development,Research Director,16,6,0.375,0.6875,High-Risk Stagnation Profile,High,4,3
56,Research & Development,Healthcare Representative,13,1,0.07692307692307693,0.9230769230769231,High-Risk Stagnation Profile,High,3,3
34,Sales,Sales Executive,8,1,0.125,0.875,High-Risk Stagnation Profile,High,3,4
36,Sales,Sales Executive,15,11,0.7333333333333333,0.8,High-Risk Stagnation Profile,High,4,4
35,Human Resources,Human Resources,9,1,0.1111111111111111,0.0,Fast-Track Performers,Medium,4,3
40,Research & Development,Research Scientist,2,2,1.0,1.0,Promotion-Stalled Employees,High,3,3
35,Research & Development,Healthcare Representative,10,0,0.0,0.2,Fast-Track Performers,Medium,3,3
35,Research & Development,Research Scientist,4,1,0.25,0.75,Fast-Track Performers,Medium,4,3
